instance,algo,seed,epsilon,horizon,reg
../instances/i-1.txt,thompson-sampling-with-hint,33,0.02,100,36.0
../instances/i-1.txt,thompson-sampling-with-hint,33,0.02,400,126.0
../instances/i-1.txt,thompson-sampling-with-hint,33,0.02,1000,292.0
../instances/i-1.txt,thompson-sampling-with-hint,34,0.02,100,25.0
../instances/i-1.txt,thompson-sampling-with-hint,34,0.02,400,119.0
../instances/i-1.txt,thompson-sampling-with-hint,34,0.02,1000,297.0
../instances/i-1.txt,thompson-sampling-with-hint,35,0.02,100,27.0
../instances/i-1.txt,thompson-sampling-with-hint,35,0.02,400,127.0
../instances/i-1.txt,thompson-sampling-with-hint,35,0.02,1000,310.0
../instances/i-1.txt,thompson-sampling-with-hint,36,0.02,100,34.0
../instances/i-1.txt,thompson-sampling-with-hint,36,0.02,400,127.0
../instances/i-1.txt,thompson-sampling-with-hint,36,0.02,1000,299.0
../instances/i-1.txt,thompson-sampling-with-hint,37,0.02,100,28.0
../instances/i-1.txt,thompson-sampling-with-hint,37,0.02,400,102.0
../instances/i-1.txt,thompson-sampling-with-hint,37,0.02,1000,280.0
../instances/i-1.txt,thompson-sampling-with-hint,38,0.02,100,31.0
../instances/i-1.txt,thompson-sampling-with-hint,38,0.02,400,110.0
../instances/i-1.txt,thompson-sampling-with-hint,38,0.02,1000,311.0
../instances/i-1.txt,thompson-sampling-with-hint,39,0.02,100,27.0
../instances/i-1.txt,thompson-sampling-with-hint,39,0.02,400,109.0
../instances/i-1.txt,thompson-sampling-with-hint,39,0.02,1000,307.0
../instances/i-1.txt,thompson-sampling-with-hint,40,0.02,100,28.0
../instances/i-1.txt,thompson-sampling-with-hint,40,0.02,400,114.0
../instances/i-1.txt,thompson-sampling-with-hint,40,0.02,1000,305.0
../instances/i-1.txt,thompson-sampling-with-hint,41,0.02,100,30.0
../instances/i-1.txt,thompson-sampling-with-hint,41,0.02,400,102.0
../instances/i-1.txt,thompson-sampling-with-hint,41,0.02,1000,274.0
../instances/i-1.txt,thompson-sampling-with-hint,42,0.02,100,28.0
../instances/i-1.txt,thompson-sampling-with-hint,42,0.02,400,128.0
../instances/i-1.txt,thompson-sampling-with-hint,42,0.02,1000,298.0
../instances/i-1.txt,thompson-sampling-with-hint,43,0.02,100,28.0
../instances/i-1.txt,thompson-sampling-with-hint,43,0.02,400,107.0
../instances/i-1.txt,thompson-sampling-with-hint,43,0.02,1000,286.0
../instances/i-1.txt,thompson-sampling-with-hint,44,0.02,100,32.0
../instances/i-1.txt,thompson-sampling-with-hint,44,0.02,400,126.0
../instances/i-1.txt,thompson-sampling-with-hint,44,0.02,1000,300.0
../instances/i-1.txt,thompson-sampling-with-hint,45,0.02,100,30.0
../instances/i-1.txt,thompson-sampling-with-hint,45,0.02,400,127.0
../instances/i-1.txt,thompson-sampling-with-hint,45,0.02,1000,322.0
../instances/i-1.txt,thompson-sampling-with-hint,46,0.02,100,27.0
../instances/i-1.txt,thompson-sampling-with-hint,46,0.02,400,119.0
../instances/i-1.txt,thompson-sampling-with-hint,46,0.02,1000,293.0
../instances/i-1.txt,thompson-sampling-with-hint,47,0.02,100,21.0
../instances/i-1.txt,thompson-sampling-with-hint,47,0.02,400,103.0
../instances/i-1.txt,thompson-sampling-with-hint,47,0.02,1000,278.0
../instances/i-1.txt,thompson-sampling-with-hint,48,0.02,100,37.0
../instances/i-1.txt,thompson-sampling-with-hint,48,0.02,400,116.0
../instances/i-1.txt,thompson-sampling-with-hint,48,0.02,1000,298.0
../instances/i-1.txt,thompson-sampling-with-hint,49,0.02,100,27.0
../instances/i-1.txt,thompson-sampling-with-hint,49,0.02,400,109.0
../instances/i-1.txt,thompson-sampling-with-hint,49,0.02,1000,306.0
